state_(land),district_(kreis),regional_designation,municipality_name_(gemeindename),municipality_designation,area_km2,population_total,male,female,per_km2,postal_code,longitude,latitude
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Ziethen,,11.17,1170,567,603,105,23911,"10,809322","53,693695"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Basthorst,,10.82,446,226,220,41,21493,"10,47139","53,576616"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Brunstorf,,13.76,789,397,392,57,21524,"10,425938","53,491554"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Dahmker,,2.04,164,85,79,80,22946,"10,444516","53,587821"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Elmenhorst,,12.99,872,457,415,67,21493,"10,537551","53,544876"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Fuhlenhagen,,5.74,373,195,178,65,21493,"10,5266","53,572959"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Grabau,,4.00,371,183,188,93,21493,"10,519825","53,513609"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Groß Pampau,,4.31,185,89,96,43,21493,"10,560301","53,521808"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Grove,,5.28,264,129,135,50,21493,"10,492067","53,528123"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Gülzow,,17.07,1350,690,660,79,21483,"10,490939","53,442249"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Hamfelde,,3.47,569,282,287,164,22929,"10,44893","53,597194"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Havekost,,5.91,201,98,103,34,21493,"10,473088","53,539918"
