Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Planebruch;620;225;36.29032258064516
Planegg;6462;683;10.569483132157227
Planetal;522;142;27.203065134099617
Plankenfels;626;104;16.61341853035144
Plankstadt;6503;1182;18.17622635706597
Plascheid;48;4;8.333333333333334
Plate;1779;681;38.27993254637437
Platten;303;59;19.471947194719473
Plattenburg;2118;881;41.595845136921625
Plattling, St;6714;2095;31.20345546619005
Plau am See, Stadt;2733;1084;39.66337358214416
Plaue, Stadt;1136;560;49.29577464788732
Plauen, Stadt;37505;15418;41.10918544194107
Plech, M;875;147;16.8
Pleckhausen;351;99;28.205128205128204
Pleidelsheim;3444;636;18.466898954703833
Plein;238;42;17.647058823529413
Pleinfeld, M;5124;1009;19.691647150663545
Pleiskirchen;1724;351;20.359628770301626
Pleisweiler-Oberhofen;276;75;27.17391304347826
Pleitersheim;160;36;22.5
Pleizenhausen;132;42;31.818181818181817
Plessa;1175;684;58.212765957446805
Plettenberg, Stadt;13049;3125;23.948195264004905
Pleystein, St;1663;428;25.736620565243534
Pleß;584;137;23.458904109589042
Pliening;3826;532;13.904861474124411
Pliezhausen;6437;1167;18.12956346123971
Plochingen, Stadt;7199;1256;17.446867620502847
Plothen;166;68;40.963855421686745
Pluwig;555;83;14.954954954954955
Plön, Stadt;5874;899;15.304732720463058
Plötzkau;801;446;55.68039950062422
Plöwen;152;70;46.05263157894737
Plößberg, M;2214;386;17.434507678410117
Plüderhausen;5559;1235;22.21622593991725
Plütscheid;128;20;15.625
Pockau-Lengefeld, Stadt;4745;2180;45.943097997892515
Pocking, St;9089;2813;30.949499394872923
Podelzig;484;239;49.3801652892562
Pogeez;285;59;20.70175438596491
Poggensee;202;45;22.277227722772277
Pohl;152;38;25.0
Pohle;417;78;18.705035971223023
Pohlheim, Stadt;10889;2158;19.818165120764075
Pohnsdorf;235;34;14.46808510638298
Poing;9272;1287;13.880500431406384
Pokrent;345;170;49.27536231884058
Polch, Stadt;1980;629;31.767676767676768
Polle, Flecken;533;124;23.264540337711068
Pollenfeld;2021;348;17.21919841662543
Pollhagen;566;114;20.141342756183747
Polling;4770;834;17.48427672955975
Polsingen;1131;207;18.30238726790451
Polzow;137;76;55.47445255474452
Pommelsbrunn;3502;689;19.67447173043975
Pommerby;75;7;9.333333333333334
Pommern;188;19;10.106382978723405
Pommersfelden;2132;543;25.46904315196998
Pomster;70;8;11.428571428571429
Ponitz;851;398;46.768507638072855
Poppenbüll;107;30;28.037383177570092
Poppendorf;417;164;39.328537170263786
Poppenhausen;2991;730;24.406552992310264
Poppenhausen (Wasserkuppe);1881;331;17.597022860180754
Poppenricht;2398;512;21.3511259382819
Porta Westfalica, Stadt;23146;5361;23.16166940292059
Poseritz;476;243;51.05042016806723
Postau;1159;223;19.24072476272649
Postbauer-Heng, M;5423;1064;19.620136455836253
Posterstein;266;112;42.10526315789474
Postfeld;244;27;11.065573770491802
Postlow;152;85;55.921052631578945
Postmünster;1605;296;18.442367601246104
Potsdam, Stadt;114574;19959;17.420182589418193
Pottenstein, St;3736;762;20.396145610278374
Pottum;360;91;25.27777777777778
Poxdorf;1138;166;14.586994727592268
Poyenberg;233;57;24.463519313304722
Pracht;495;186;37.57575757575758
Prackenbach;1903;667;35.049921177088805
Pragsdorf;284;155;54.57746478873239
Prasdorf;257;48;18.67704280155642
Prath;126;24;19.047619047619047
Prebberede;355;179;50.42253521126761
Prebitz;713;151;21.1781206171108
Preetz;519;260;50.09633911368015
Preetz, Stadt;10551;1715;16.254383470761066
Preischeid;58;12;20.689655172413794
Preist;199;33;16.582914572864322
Prem;634;128;20.189274447949526
Premnitz, Stadt;5095;1913;37.546614327772325
Prenzlau, Stadt;10996;4800;43.65223717715533
Prerow, Ostseebad;705;240;34.04255319148936
Pressath, St;2796;620;22.17453505007153
Presseck, M;1180;261;22.11864406779661
Pressig, M;2622;594;22.65446224256293
Pretzfeld, M;1707;351;20.56239015817223
Preußisch Oldendorf, Stadt;7787;2058;26.428663156542957
Prezelle;236;33;13.983050847457626
Priborn;182;84;46.15384615384615
Prichsenstadt, St;2179;460;21.110601193207895
Prien a.Chiemsee, M;6898;981;14.221513482168744
Priepert;177;66;37.28813559322034
Priesendorf;994;276;27.766599597585515
Priestewitz;2114;1028;48.62819299905393
Prinzenmoor;107;23;21.49532710280374
Prinzhöfte;331;70;21.148036253776436
Pripsleben;140;72;51.42857142857143
Prisdorf;1094;131;11.974405850091408
Prislich;368;188;51.08695652173913
Prittriching;1864;338;18.13304721030043
Pritzier;196;73;37.244897959183675
Pritzwalk, Stadt;7193;2824;39.260392047824276
Probsteierhagen;1252;227;18.130990415335464
Probstzella;1425;779;54.666666666666664
Prohn;1050;486;46.285714285714285
Pronsfeld;266;42;15.789473684210526
Pronstorf;879;223;25.369738339021616
Prosselsheim;815;128;15.705521472392638
Pruchten;354;155;43.78531073446328
Prutting;2028;399;19.674556213017752
Prötzel;537;275;51.21042830540037
Prüm, Stadt;1300;296;22.76923076923077
Prümzurlay;178;29;16.292134831460675
Puchheim, St;11566;1382;11.948815493688397
Pudagla;290;151;52.06896551724138
Puderbach;810;302;37.28395061728395
Pulheim, Stadt;36470;4361;11.957773512476008
Pullach i.Isartal;5610;396;7.0588235294117645
Pullenreuth;1173;309;26.342710997442456
Puls;323;92;28.48297213622291
Pulsnitz, Stadt;3398;1731;50.94173042966451
Puschendorf;1567;235;14.996809189534142
Puschwitz / Bóšicy;423;266;62.88416075650118
Putbus, Stadt;3060;1138;37.189542483660134
Putgarten;99;49;49.494949494949495
Putlitz, Stadt;1315;608;46.23574144486692
Putzbrunn;3883;458;11.795003862992532
Pyrbaum, M;3992;820;20.541082164328657
Pähl;1774;262;14.768883878241263
Pätow-Steegen;214;89;41.58878504672897
Päwesin;326;121;37.11656441717791
Pöcking;3615;377;10.428769017980636
Pöhl;1634;683;41.799265605875156
Pölchow;484;174;35.950413223140494
Pölich;154;17;11.03896103896104
Pölitz;625;170;27.2
Pölzig;637;337;52.90423861852433
Pörmitz;96;37;38.541666666666664
Pörnbach;1454;285;19.601100412654745
Pöschendorf;143;35;24.475524475524477
Pösing;686;150;21.865889212827987
Pöttmes, M;4319;1069;24.75109979161843
Pößneck, Stadt;7055;3233;45.82565556343019
Püchersreuth;1225;233;19.020408163265305
Pünderich;334;57;17.065868263473053
Pürgen;2522;412;16.33624107850912
Püttlingen, Stadt;12159;2587;21.276420758286044
Quakenbrück, Stadt;4762;1388;29.147417051658966
Quarnbek;827;109;13.180169286577993
Quarnstedt;249;64;25.70281124497992
Quaschwitz;47;25;53.191489361702125
Quedlinburg, Welterbestadt;14406;5189;36.0197140080522
Queidersbach;1890;498;26.349206349206348
Quendorf;364;28;7.6923076923076925
Querenhorst;261;64;24.521072796934867
Querfurt, Stadt;6529;2877;44.06494103231735
Quernheim;253;36;14.229249011857707
Quickborn;111;35;31.53153153153153
Quickborn, Stadt;14031;2139;15.244815052384007
Quiddelbach;118;26;22.033898305084747
Quierschied;8350;1949;23.34131736526946
Quirnbach;207;68;32.85024154589372
Quirnbach/ Pfalz;232;62;26.724137931034484
Quirnheim;278;87;31.294964028776977
Quitzdorf am See / Kwetanecy pri jezoru;696;409;58.764367816091955
Raa-Besenbek;281;50;17.793594306049823
Rabel;347;49;14.121037463976945
Raben Steinfeld;577;190;32.92894280762565
Rabenau;3373;847;25.111176993774087
Rabenau, Stadt;2983;1404;47.06671136439826
Rabenholz;149;20;13.422818791946309
Rabenkirchen-Faulück;316;76;24.050632911392405
Rabenstein/Fläming;463;136;29.37365010799136
Racksen;71;9;12.67605633802817
Rackwitz;3382;1356;40.09461856889415
Radbruch;1155;182;15.757575757575758
Raddestorf;981;145;14.780835881753314
Rade b. Hohenwestedt;51;9;17.647058823529413
Rade b. Rendsburg;123;17;13.821138211382113
Radeberg, Stadt;11895;4890;41.10970996216898
Radebeul, Stadt;22892;7404;32.34317665560021
Radeburg, Stadt;5195;2354;45.312800769971126
Radevormwald, Stadt auf der Höhe;13171;2899;22.010477564345912
Radibor / Radwor;2139;1085;50.72463768115942
Radolfzell am Bodensee, Stadt;19309;2954;15.298565435807136
Raesfeld;8022;1039;12.951882323610072
Ragow-Merz;305;155;50.81967213114754
Raguhn-Jeßnitz, Stadt;6152;3171;51.544213263979195
Rahden, Stadt;10170;2119;20.835791543756145
Rain;2072;477;23.02123552123552
Rain, St;5392;1059;19.64020771513353
Rainau;2311;509;22.025097360450022
Raisting;1660;212;12.771084337349398
Raitenbuch;849;153;18.021201413427562
Ralbitz-Rosenthal / Ralbicy-Róžant;884;348;39.366515837104075
Ralingen;661;112;16.944024205748864
Ralswiek;134;67;50.0
Ramberg;275;78;28.363636363636363
Rambin;508;229;45.07874015748032
Ramerberg;946;217;22.938689217758984
Ramhusen;85;26;30.58823529411765
Ramin;207;110;53.14009661835749
Rammelsbach;534;229;42.88389513108614
Rammenau;744;415;55.77956989247312
Rammingen;1944;479;24.63991769547325
Ramsau b.Berchtesgaden;1103;126;11.4233907524932
Ramsen;1243;300;24.13515687851971
Ramstedt (einschl. Wisch);287;51;17.770034843205575
Ramstein-Miesenbach, Stadt;4109;1087;26.45412509126308
Ramsthal;749;0;0.0
Randersacker, M;2433;293;12.04274558158652
Randowtal;473;254;53.699788583509516
Rangendingen;3350;848;25.313432835820894
Rangsdorf;8067;2055;25.474153960580143
Ranis, Stadt (einschl. Seisla);907;505;55.67805953693495
Rankwitz;276;146;52.89855072463768
Rannungen;839;0;0.0
Ransbach-Baumbach, Stadt;1948;525;26.95071868583162
Ranschbach;231;61;26.406926406926406
Ranstadt;3393;818;24.10845859121721
Ransweiler;177;56;31.638418079096045
Rantrum;926;196;21.166306695464364
Rantzau;169;28;16.568047337278106
Rappin;150;71;47.333333333333336
Raschau-Markersbach;3240;1670;51.54320987654321
Rascheid;191;35;18.32460732984293
Rasdorf, Point-Alpha-Gemeinde;1126;234;20.78152753108348
Rastatt, Stadt;23881;7513;31.460156609857208
Rastdorf;558;107;19.17562724014337
Rastede;14941;2165;14.490328625928653
Rastenberg, Stadt;1360;617;45.36764705882353
Rastorf;427;81;18.969555035128806
Rastow;1041;460;44.18828049951969
Ratekau;10290;1955;18.999028182701654
Rathen, Kurort;232;104;44.827586206896555
Rathenow, Stadt;14170;5244;37.00776287932251
Rathjensdorf;271;40;14.760147601476016
Rathmannsdorf;570;347;60.87719298245614
Rathskirchen;83;21;25.301204819277107
Rathsweiler;69;14;20.28985507246377
Ratingen, Stadt;54333;7374;13.571862404063829
Ratshausen;486;150;30.864197530864196
Rattelsdorf;45;15;33.333333333333336
Rattelsdorf, M;3255;846;25.99078341013825
Rattenberg;1184;314;26.52027027027027
Rattenkirchen;739;200;27.06359945872801
Rattiszell;1040;217;20.865384615384617
Ratzeburg, Stadt;9089;1777;19.551105732203762
Ratzert;136;37;27.205882352941178
Raubach;706;233;33.0028328611898
Raubling;7485;1482;19.799599198396795
Rauda;165;79;47.878787878787875
Rauen;1452;559;38.49862258953168
Rauenberg, Stadt;5364;1020;19.01565995525727
Rauhenebrach;1980;0;0.0
Raumbach;141;43;30.49645390070922
Raunheim, Stadt;6045;1107;18.312655086848636
Rauschenberg, Stadt;2936;640;21.798365122615802
Rauschwitz;118;56;47.45762711864407
Rausdorf;255;77;30.19607843137255
Ravengiersburg;151;26;17.218543046357617
Ravensburg, Stadt;29320;4445;15.160300136425649
Ravenstein, Stadt;1920;494;25.729166666666668
Raversbeuren;76;14;18.42105263157895
Rayerschied;58;5;8.620689655172415
Rech;146;17;11.643835616438356
Rechberghausen;3460;716;20.69364161849711
Rechenberg-Bienenmühle;1211;610;50.37159372419488
Rechlin;1055;444;42.08530805687204
Rechtenbach;639;139;21.752738654147105
Rechtenstein;157;36;22.929936305732483
Rechtmehring;1412;239;16.926345609065155
Rechtsupweg;1363;417;30.594277329420397
Recke;7721;1033;13.379095972024349
Reckendorf;1364;270;19.794721407624632
Reckenroth;121;19;15.702479338842975
Reckershausen;142;55;38.732394366197184
Recklinghausen, Stadt;66186;13120;19.822923276825914
Reddelich;542;232;42.80442804428044
Redefin;257;92;35.797665369649806
Rednitzhembach;4886;905;18.522308636921817
Redwitz a.d.Rodach;2107;483;22.92358803986711
Rees, Stadt;13913;2190;15.740674189606843
Reesdorf;82;10;12.195121951219512
Reeßum;960;146;15.208333333333334
Regen, St;6591;1959;29.7223486572599
Regensburg;88086;12233;13.887564425674908
Regenstauf, M;10471;2498;23.856365199121385
Regesbostel;555;123;22.16216216216216
Regis-Breitingen, Stadt;2486;1175;47.26468222043443
Regnitzlosau;1568;370;23.596938775510203
Rehau, St;5661;1478;26.10846140257905
Rehborn;286;80;27.972027972027973
Rehburg-Loccum, Stadt;6363;1324;20.80779506522081
Rehden;1028;230;22.373540856031127
Rehe;406;144;35.467980295566505
Reher;402;88;21.890547263681594
Rehfelde;2619;1200;45.81901489117984
Rehhorst;432;100;23.14814814814815
Rehling;1696;326;19.221698113207548
Rehlingen;372;64;17.204301075268816
Rehlingen-Siersburg;9675;1859;19.214470284237727
Rehm-Flehde-Bargen;286;91;31.818181818181817
Rehna, Stadt;1458;661;45.3360768175583
Rehweiler;190;41;21.57894736842105
Reich;148;36;24.324324324324323
Reichartshausen;1361;313;22.997795738427627
Reichelsheim (Odenwald);5203;1119;21.50682298673842
Reichelsheim (Wetterau), Stadt;4353;962;22.09970135538709
Reichenau;3234;317;9.802102659245516
Reichenbach;1904;620;32.563025210084035
Reichenbach am Heuberg;257;92;35.797665369649806
Reichenbach an der Fils;4876;941;19.298605414273997
Reichenbach im Vogtland, Stadt;12090;5484;45.359801488833746
Reichenbach-Steegen;949;212;22.339304531085354
Reichenbach/O.L., Stadt;3108;1597;51.38352638352638
Reichenberg;88;9;10.227272727272727
Reichenberg, M;2887;395;13.682022861101489
Reichenow-Möglin;314;142;45.22292993630573
Reichenschwand;1621;272;16.77976557680444
Reichenwalde;614;238;38.762214983713356
Reichersbeuern;1575;260;16.50793650793651
Reichertshausen;3268;616;18.849449204406366
Reichertsheim;1174;198;16.86541737649063
Reichertshofen, M;5104;1299;25.45062695924765
Reichling;1213;229;18.87881286067601
Reichshof;11958;3202;26.77705301889948
Reichsthal;53;10;18.867924528301888
Reichstädt;215;106;49.30232558139535
Reichweiler;237;69;29.11392405063291
Reidenhausen;102;34;33.333333333333336
Reifenberg;282;73;25.886524822695037
Reiferscheid;183;54;29.508196721311474
Reiff (in Eschfeld enthalten);0;0;
Reiffelbach;105;27;25.714285714285715
Reifferscheid;199;30;15.075376884422111
Reil;353;54;15.297450424929178
Reilingen;4896;1039;21.22140522875817
Reimerath (in Welcherath enthalten);0;0;
Reimershagen;195;89;45.64102564102564
Reimlingen;901;130;14.428412874583795
Reinbek, Stadt;17917;2616;14.60065859239828
Reinfeld (Holstein), Stadt;6000;944;15.733333333333333
Reinhardshagen;2945;718;24.38030560271647
Reinhardtsdorf-Schöna;906;523;57.72626931567329
Reinheim, Stadt;10204;1843;18.06154449235594
Reinholterode;460;166;36.08695652173913
Reinsberg;1873;939;50.13347570742125
Reinsbüttel (einschl. Friedrichgabekoog);234;48;20.512820512820515
Reinsdorf;5376;2063;38.37425595238095
Reinsfeld;796;181;22.738693467336685
Reinstorf;675;126;18.666666666666668
Reinstädt;283;145;51.236749116607776
Reipoltskirchen;100;35;35.0
Reisbach, M;4827;1216;25.191630412264345
Reischach;1818;385;21.177117711771178
Reiskirchen;6593;1720;26.088275443652357
Reit im Winkl;1446;197;13.623789764868603
Reitwein;282;124;43.97163120567376
Reitzenhain;159;20;12.578616352201259
Reken;10144;1621;15.979889589905362
Rellingen;9919;1247;12.571831837886883
Relsberg;74;15;20.27027027027027
Remagen, Stadt;10414;1549;14.874207797196082
Remchingen;7477;1857;24.836164236993447
Remlingen, M;1061;207;19.50989632422243
Remlingen-Semmenstedt;1285;362;28.171206225680933
Remmels;225;45;20.0
Remptendorf;2253;1035;45.938748335552596
Remscheid, Stadt;58011;11728;20.216855423971317
Remse;1150;484;42.08695652173913
Remseck am Neckar, Stadt;14849;2891;19.46932453363863
Remshalden;8679;1434;16.52264085724162
Renchen, Stadt;4499;955;21.226939319848857
Rendsburg, Stadt;14892;2974;19.970453934998655
Rendswühren;449;71;15.812917594654788
Rengsdorf;1774;315;17.756482525366405
Renkenberge;399;42;10.526315789473685
Rennau;410;87;21.21951219512195
Rennerod, Stadt;1346;449;33.35809806835067
Rennertshofen, M;3223;702;21.78094942600062
Renningen, Stadt;10805;1754;16.233225358630264
Renquishausen;551;146;26.497277676950997
Renthendorf;259;115;44.4015444015444
Rentweinsdorf, M;1101;0;0.0
Reppenstedt;3256;521;16.0012285012285
Rerik, Ostseebad, Stadt;1063;335;31.51458137347131
Rethem (Aller), Stadt;1068;182;17.04119850187266
Rethwisch;898;194;21.603563474387528
Retschow;466;174;37.33905579399141
Rettenbach;2422;690;28.488852188274155
Rettenbach a.Auerberg;617;145;23.500810372771475
Rettenberg;3164;424;13.400758533501897
Retterath;132;30;22.727272727272727
Rettersen;160;35;21.875
Rettershain;128;30;23.4375
Rettert;228;48;21.05263157894737
Retzow;274;144;52.55474452554745
Retzstadt;1206;104;8.623548922056385
Reudelsterz;184;59;32.06521739130435
Reurieth;426;223;52.347417840375584
Reut;1193;249;20.871751886001675
Reute;2011;264;13.127797115862755
Reuth;79;23;29.11392405063291
Reuth b.Erbendorf;764;173;22.643979057591622
Reutlingen, Stadt;60270;10987;18.22963331674133
Reußenköge;166;24;14.457831325301205
Rhade;571;111;19.439579684763572
Rhauderfehn;11816;2693;22.79113067027759
Rhaunen;708;350;49.43502824858757
Rheda-Wiedenbrück, Stadt;26349;4029;15.290902880564728
Rhede (Ems);2881;488;16.938562998958695
Rhede, Stadt;13354;1405;10.521192152164145
Rheinau, Stadt;6898;1554;22.528269063496666
Rheinbach, Stadt;17640;2483;14.075963718820862
Rheinberg, Stadt;20616;3752;18.199456732634847
Rheinbreitbach;2957;271;9.164693946567468
Rheinbrohl;2337;340;14.548566538296962
Rheinböllen, Stadt;1427;405;28.381219341275404
Rheine, Stadt;46089;7836;17.00188765215127
Rheinfelden (Baden), Stadt;17205;3386;19.6803254867771
Rheinhausen;2592;553;21.334876543209877
Rheinmünster;4114;993;24.137092853670392
Rheinsberg, Stadt;5218;2009;38.50134151015715
Rheinstetten, Stadt;13091;2297;17.546405927736615
Rheinzabern;1371;364;26.549963530269878
Rhens, Stadt;799;148;18.523153942428035
Rheurdt;4556;748;16.417910447761194
Rhinow, Stadt;779;419;53.78690629011553
Rhodt unter Rietburg;313;63;20.12779552715655
Rhumspringe;824;141;17.111650485436893
Rhönblick;1819;662;36.39362286970863
Ribbesbüttel;1131;308;27.232537577365164
Ribnitz-Damgarten, Bernsteinstadt;10195;3485;34.18342324668956
Richtenberg, Stadt;614;317;51.62866449511401
Rickenbach;2445;579;23.680981595092025
Rickert;555;87;15.675675675675675
Rickling;1329;299;22.498118886380738
Ried;2264;477;21.068904593639576
Riedbach;1184;0;0.0
Riede;1587;306;19.281663516068054
Riedelberg;184;50;27.17391304347826
Rieden;1404;308;21.937321937321936
Rieden am Forggensee;905;121;13.370165745856353
Rieden, M;1839;528;28.71125611745514
Riedenberg;673;0;0.0
Riedenburg, St;3730;864;23.16353887399464
Riedenheim;579;127;21.934369602763386
Riederich;2503;496;19.81622053535757
Riedering;3747;749;19.989324793167867
Riedhausen;499;93;18.637274549098198
Riedlingen, Stadt;6131;2006;32.718969173054965
Riedstadt, Büchnerstadt;13969;2291;16.400601331519795
Riegel am Kaiserstuhl;2441;481;19.705038918476035
Riegelsberg;9594;1812;18.88680425265791
Riegenroth;90;14;15.555555555555555
Riegsee;883;113;12.797281993204983
Riekofen;570;144;25.263157894736842
Rielasingen-Worblingen;7130;1745;24.474053295932677
Rieneck, St;1311;223;17.009916094584288
Rieps;207;69;33.333333333333336
Riepsdorf;546;137;25.09157509157509
Riesa, Stadt;17467;8242;47.18612240224423
Riesbürg;1452;383;26.37741046831956
Rieschweiler-Mühlbach;619;178;28.75605815831987
Rieseby;1332;249;18.693693693693692
Rieste;1658;401;24.185765983112184
Riesweiler;329;69;20.972644376899694
Rietberg, Stadt;18623;2706;14.5304193738925
Rietheim-Weilheim;1753;477;27.210496292070737
Riethnordhausen;618;273;44.1747572815534
Rietschen / Rěčicy;1118;624;55.81395348837209
Rietz-Neuendorf;2967;1336;45.02864846646444
Rietzneuendorf-Staakow;396;215;54.292929292929294
Rimbach;7637;1797;23.530182008642136
Rimpar, M;5156;756;14.662529092319627
Rimsberg;65;9;13.846153846153847
Rimsting;2644;385;14.56127080181543
Rinchnach;2158;727;33.68860055607043
Ringe;1008;101;10.01984126984127
Ringelai;1279;335;26.19233776387803
Ringgau;2053;456;22.211397954213346
Ringleben;268;117;43.656716417910445
Ringsberg;304;59;19.407894736842106
Ringsheim;1617;258;15.955473098330241
Rinnthal;193;65;33.67875647668394
Rinteln, Stadt;15551;3895;25.046620796090284
Rinzenberg;125;38;30.4
Riol;418;67;16.028708133971293
Rippershausen;452;205;45.35398230088496
Risum-Lindholm;2031;239;11.767602166420483
Ritschenhausen;173;67;38.72832369942196
Ritterhude;9900;1638;16.545454545454547
Rittersdorf;564;182;32.269503546099294
Rittersheim;141;45;31.914893617021278
Ritzerau;167;41;24.550898203592816
Ritzerow;208;100;48.07692307692308
Rivenich;257;71;27.626459143968873
Riveris;164;42;25.609756097560975
Rochau;686;292;42.565597667638485
Rochlitz, Stadt, Stadt des Roten Porphyr;2423;1090;44.985555096987206
Rockenberg;2916;439;15.054869684499314
Rockenhausen, Stadt;3073;667;21.705174096973643
Rockeskyll;114;23;20.17543859649123
Rockstedt;139;49;35.25179856115108
Rodalben, Stadt;4326;1033;23.878871937124366
Rodder;114;20;17.54385964912281
Roden;699;172;24.606580829756794
Rodenbach;9128;1880;20.595968448729185
Rodenbach bei Puderbach;279;92;32.97491039426523
Rodenbek;270;38;14.074074074074074
Rodenberg, Stadt;3067;710;23.149657645908054
Rodenäs;198;30;15.151515151515152
Rodershausen (einschl. Herbstmühle);60;13;21.666666666666668
Rodewald;1431;314;21.94269741439553
Rodewisch, Stadt;4057;1765;43.505052994823764
Rodgau, Stadt;26828;4631;17.26181601312062
Roding, St;7506;2201;29.323208100186516
Roduchelstorf;113;48;42.47787610619469
Roes;147;24;16.3265306122449
Roetgen, Tor zur Eifel;5971;0;0.0
Roggenburg;1936;466;24.070247933884296
Roggendorf;518;217;41.891891891891895
Roggenstorf;240;107;44.583333333333336
Roggentin;1483;445;30.006743088334456
Rogätz;1452;639;44.00826446280992
Rohlstorf;587;123;20.954003407155025
Rohr;3185;744;23.35949764521193
Rohr i.NB, M;2129;518;24.33067167684359
Rohrbach;4722;1099;23.27403642524354
Rohrberg;836;358;42.822966507177036
Rohrdorf;4918;985;20.02846685644571
Rohrenfels;1118;291;26.028622540250446
Rohrsen;554;174;31.407942238267147
Roigheim;814;247;30.343980343980345
Roklum;250;47;18.8
Rollshausen;405;73;18.02469135802469
Rollwitz;488;254;52.049180327868854
Rom;443;226;51.01580135440181
Rommersheim;170;18;10.588235294117647
Rommerskirchen;9185;1551;16.88622754491018
Romrod, Stadt;1824;416;22.80701754385965
Rondeshagen;415;89;21.44578313253012
Ronneburg;2291;574;25.05456132693147
Ronneburg, Stadt;2942;1540;52.34534330387491
Ronnenberg, Stadt;13730;2650;19.30080116533139
Ronsberg, M;1057;262;24.78713339640492
Ronshausen;1630;302;18.52760736196319
Rorodt;31;8;25.806451612903224
Rosa;396;211;53.282828282828284
Rosbach v. d. Höhe, Stadt;7974;1315;16.491096062202157
Roschbach;247;59;23.88663967611336
Rosche;953;181;18.99265477439664
Roscheid (in Eschfeld enthalten);0;0;
Rosdorf;7910;1200;15.170670037926675
Roseburg;310;53;17.096774193548388
Rosenau;470;240;51.06382978723404
Rosenbach;1067;564;52.85848172446111
Rosenbach/Vogtl.;2820;1302;46.170212765957444
Rosenberg;3119;705;22.603398525168323
Rosendahl;7399;764;10.32571969185025
Rosendorf;90;49;54.44444444444444
Rosenfeld, Stadt;3957;1127;28.481172605509226
Rosengarten;13035;2049;15.71921749136939
Rosenheim;32681;5587;17.0955601113797
Rosenheim (Landkreis Altenkirchen);314;84;26.751592356687897
Rosenkopf;147;45;30.612244897959183
Rosenow;495;233;47.07070707070707
Rosenthal am Rennsteig;2650;1300;49.056603773584904
Rosenthal, Stadt;1400;335;23.928571428571427
Rosenthal-Bielatal;1024;524;51.171875
Rositz;1368;795;58.1140350877193
Roskow;641;280;43.6817472698908
Rossau;2317;1090;47.04359085023738
Rossin;98;64;65.3061224489796
Rossow;216;118;54.629629629629626
Rostock, Hanse- und Universitätsstadt;130188;31993;24.574461547915323
Rot am See;3409;738;21.648577295394542
Rot an der Rot;2924;722;24.6922024623803
Rotenburg (Wümme), Stadt;13478;2444;18.13325419201662
Rotenburg a. d. Fulda, Stadt;8270;1908;23.071342200725514
Rotenhain;198;73;36.86868686868687
Roth;815;269;33.00613496932515
Roth an der Our (einschl. Gentingen);48;4;8.333333333333334
Roth bei Prüm;155;36;23.225806451612904
Roth, St;15452;2982;19.298472689619466
Rothemühl;171;94;54.97076023391813
Rothenbach;360;92;25.555555555555557
Rothenbuch;1194;219;18.34170854271357
Rothenburg ob der Tauber, GKSt;6402;1101;17.197750702905342
Rothenburg/O.L., Stadt;1975;1061;53.721518987341774
Rothenfels, St;637;120;18.838304552590266
Rothenklempenow;306;166;54.248366013071895
Rothenstein;672;230;34.226190476190474
Rothselberg;227;46;20.26431718061674
Rott;1329;301;22.648607975921745
Rott a.Inn;2717;717;26.3894000736106
Rottach-Egern;3789;464;12.245975191343362
Rottenacker;1390;388;27.913669064748202
Rottenbuch;1229;208;16.92432872253865
Rottenburg a.d.Laaber, St;5111;1031;20.172177656036002
Rottenburg am Neckar, Stadt;26127;4740;18.14215179699162
Rottendorf;3738;522;13.964686998394864
Rotthalmünster, M;3010;726;24.119601328903656
Rottweil, Stadt;14101;3465;24.572725338628466
Roxheim;1071;267;24.92997198879552
Roßbach;3364;775;23.03804994054697
Roßdorf;8195;1229;14.996949359365466
Roßhaupten;1555;245;15.755627009646302
Roßleben-Wiehe, Stadt;4599;2040;44.35746901500326
Roßtal, M;6832;1119;16.3788056206089
Roßwein, Stadt;4342;1948;44.86411791801013
Rubenow;420;265;63.095238095238095
Rubkow;372;214;57.526881720430104
Rudelzhausen;2240;519;23.169642857142858
Ruderatshofen;1246;219;17.57624398073836
Rudersberg;6896;1743;25.27552204176334
Ruderting;2232;434;19.444444444444443
Rudolstadt, Stadt;15433;6437;41.709324175468154
Rugendorf;705;139;19.71631205673759
Ruhla, Stadt;3501;1167;33.333333333333336
Ruhland, Stadt;2530;1157;45.73122529644269
Ruhmannsfelden, M;1276;413;32.36677115987461
Ruhner Berge;865;456;52.716763005780344
Ruhpolding;4255;633;14.876615746180963
Ruhstorf a.d.Rott, M;4534;1135;25.033083370092633
Ruhwinkel;533;121;22.701688555347094
Rukieten;200;93;46.5
Rullstorf;1037;185;17.839922854387655
Rumbach;151;37;24.503311258278146
Rumohr;484;79;16.322314049586776
Runding;1588;439;27.6448362720403
Runkel, Stadt;6097;1274;20.895522388059703
Ruppach-Goldhausen;411;87;21.16788321167883
Ruppertsberg;399;68;17.04260651629073
Ruppertsecken;124;35;28.225806451612904
Ruppertshofen;1472;523;35.52989130434783
Ruppertsweiler;538;201;37.360594795539036
Ruppichteroth;6549;1507;23.0111467399603
Ruschberg;276;63;22.82608695652174
Rust;2284;507;22.197898423817865
Rustenfelde;302;112;37.086092715231786
Rutesheim, Stadt;6787;958;14.115220274053337
Ruthweiler;155;48;30.967741935483872
Rutsweiler am Glan;125;30;24.0
Rutsweiler an der Lauter;155;46;29.677419354838708
