Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Bad Langensalza, Stadt;10628;3965;37.30711328566052
Bad Lauchstädt, Goethestadt;5958;2757;46.273917421953676
Bad Lausick, Stadt;5462;2040;37.348956426217505
Bad Lauterberg im Harz, Stadt;6399;1405;21.956555711829974
Bad Liebenstein, Stadt;4773;1875;39.28346951602766
Bad Liebenwerda, Stadt;5938;2549;42.926911417985856
Bad Liebenzell, Stadt;5560;1195;21.492805755395683
Bad Lippspringe, Stadt;9549;2002;20.965546130484867
Bad Lobenstein, Stadt;3424;1630;47.60514018691589
Bad Marienberg (Westerwald), Stadt;1676;575;34.307875894988065
Bad Mergentheim, Stadt;13590;3031;22.303164091243563
Bad Muskau / Mužakow, Stadt;1583;907;57.2962728995578
Bad Münder am Deister, Stadt;10983;2107;19.18419375398343
Bad Münstereifel, Stadt;12205;2274;18.631708316263826
Bad Nauheim, Stadt;18701;2771;14.817389444414736
Bad Nenndorf, Stadt;5561;948;17.047293652220823
Bad Neualbenreuth, M;942;183;19.426751592356688
Bad Neuenahr-Ahrweiler, Stadt;17210;2229;12.95177222545032
Bad Neustadt a.d.Saale, St;8279;0;0.0
Bad Oeynhausen, Stadt;28817;5879;20.401152097720097
Bad Oldesloe, Stadt;14806;2450;16.54734567067405
Bad Orb, Stadt;5894;1342;22.768917543264337
Bad Peterstal-Griesbach;1522;284;18.659658344283837
Bad Pyrmont, Stadt;11178;2510;22.454821971730183
Bad Rappenau, Stadt;13286;3844;28.932711124491945
Bad Reichenhall, GKSt;9680;1944;20.082644628099175
Bad Rippoldsau-Schapbach;1318;203;15.402124430955993
Bad Rodach, St;4120;832;20.194174757281555
Bad Rothenfelde;4869;795;16.327788046826864
Bad Saarow;4139;1309;31.62599661754047
Bad Sachsa, Stadt;4376;1157;26.439670932358318
Bad Salzdetfurth, Stadt;8855;1588;17.933370976849236
Bad Salzschlirf;1963;553;28.17116658176261
Bad Salzuflen, Stadt;31612;6669;21.096419081361507
Bad Salzungen, Stadt;9687;4567;47.145659130793845
Bad Sassendorf;8152;1461;17.92198233562316
Bad Saulgau, Stadt;10368;2378;22.935956790123456
Bad Schandau, Stadt;2275;1223;53.75824175824176
Bad Schmiedeberg, Stadt;5328;2043;38.3445945945946
Bad Schussenried, Stadt;5292;1237;23.37490551776266
Bad Schwalbach, Kreisstadt;6007;1162;19.344098551689694
Bad Schwartau, Stadt;13536;2165;15.994385342789599
Bad Schönborn;7564;1640;21.68164992067689
Bad Segeberg, Stadt;10963;1835;16.73811912797592
Bad Sobernheim, Stadt;1881;502;26.687931951089844
Bad Soden am Taunus, Stadt;13134;1380;10.507080858839652
Bad Soden-Salmünster, Stadt;7934;2126;26.79606755734812
Bad Sooden-Allendorf, Stadt;5112;1024;20.031298904538342
Bad Staffelstein, St;7275;1374;18.88659793814433
Bad Steben, M;2268;396;17.46031746031746
Bad Sulza, Stadt;4219;1969;46.6698269732164
Bad Säckingen, Stadt;9082;1926;21.206782646994053
Bad Sülze, Stadt;697;349;50.07173601147776
Bad Tabarz;2491;926;37.17382577278202
Bad Teinach-Zavelstein, Stadt;2057;496;24.112785610111814
Bad Tennstedt, Stadt;1114;547;49.10233393177738
