Gemeinde;Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
0;Leverkusen, Stadt;90468;15465;17.094442233718
0;Ludwigshafen am Rhein, Stadt;72003;17327;24.064275099648626
0;Lübeck, Hansestadt;128410;19469;15.161591776341407
0;Magdeburg, Landeshauptstadt;138817;41352;29.78885871326999
0;Mainz, Stadt;127948;9969;7.7914465251508425
0;Mannheim, Universitätsstadt;151921;27170;17.884295127072622
0;Memmingen;23271;5219;22.427055132998152
0;Mönchengladbach, Stadt;138447;25280;18.25969504575758
0;Mülheim an der Ruhr, Stadt;97767;14891;15.231110701975105
0;München, Landeshauptstadt (Teil);777426;51011;6.561524826800236
0;Münster, Stadt;206815;13426;6.491792181418176
0;Neumünster, Stadt;44051;9877;22.421738439535993
0;Neustadt an der Weinstraße, Stadt;33032;6352;19.22983773310729
0;Nürnberg (Teil);261926;40788;15.572337225017753
0;Oberhausen, Stadt;112386;24922;22.17535992027477
0;Offenbach am Main, Stadt;49760;7427;14.92564308681672
0;Oldenburg (Oldenburg), Stadt;109023;11691;10.723425332269338
0;Osnabrück, Stadt;98768;9946;10.070063178357362
0;Passau;28626;4827;16.86229302033117
0;Pforzheim, Stadt;53561;16836;31.433319019435782
0;Pirmasens, Stadt;21544;6467;30.017638321574452
0;Potsdam, Stadt;114574;19959;17.420182589418193
0;Regensburg;88086;12233;13.887564425674908
0;Remscheid, Stadt;58011;11728;20.216855423971317
0;Rosenheim;32681;5587;17.0955601113797
0;Rostock, Hanse- und Universitätsstadt;130188;31993;24.574461547915323
0;Salzgitter, Stadt;51655;13886;26.882199206272386
0;Schwabach;24422;4433;18.15166653017771
0;Schweinfurt;26770;7003;26.15988046320508
0;Schwerin, Landeshauptstadt;58920;18397;31.22369314324508
0;Solingen, Klingenstadt;87224;15499;17.76919196551408
0;Speyer, Stadt;28205;5758;20.41482006736394
0;Straubing;24833;6009;24.1976402367817
0;Stuttgart, Landeshauptstadt (Teil);299698;34009;11.347756741786732
0;Suhl, Stadt;21822;8165;37.41636880212629
0;Trier, Stadt;61058;7885;12.913950669854891
0;Ulm, Universitätsstadt;68566;9331;13.60878569553423
0;Weiden i.d.OPf.;24197;5940;24.548497747654668
0;Weimar, Stadt;40371;9709;24.049441430729978
0;Wiesbaden, Landeshauptstadt;146762;20406;13.904144124500892
0;Wilhelmshaven, Stadt;44071;9373;21.267953983345055
0;Wolfsburg, Stadt;67513;14136;20.938189681987172
0;Worms, Stadt;43562;10247;23.522795096643865
0;Wuppertal, Stadt (Teil);178582;32391;18.13788623713476
0;Würzburg;80153;9136;11.39820094070091
0;Zweibrücken, Stadt;20026;5293;26.430640167781885
1;Aach;380;76;20.0
1;Aach, Stadt;1500;408;27.2
1;Aarbergen;3612;785;21.73311184939092
1;Aasbüttel;86;5;5.813953488372093
1;Abentheuer;141;36;25.53191489361702
1;Abstatt;3075;688;22.3739837398374
1;Abtsbessingen;218;111;50.91743119266055
1;Abtsteinach;1696;324;19.10377358490566
1;Abtweiler;87;29;33.333333333333336
1;Achberg;1114;207;18.58168761220826
1;Achern, Stadt;15906;3386;21.287564441091412
1;Achim, Stadt;20078;3368;16.774579141348738
1;Achstetten;3231;724;22.40792324357784
1;Acht;39;13;33.333333333333336
1;Achterwehr;474;36;7.594936708860759
1;Achtrup;809;179;22.126081582200246
1;Adelberg;1367;309;22.60424286759327
1;Adelebsen, Flecken;4339;681;15.69486056695091
1;Adelheidsdorf;1877;389;20.724560468833243
1;Adelsheim, Stadt;2723;792;29.08556738890929
1;Adenau, Stadt;757;174;22.98546895640687
1;Adenbach;65;14;21.53846153846154
1;Adenbüttel;1004;160;15.936254980079681
1;Adendorf;7560;1217;16.097883597883598
1;Admannshagen-Bargeshagen;1485;524;35.28619528619529
1;Aerzen, Flecken;6924;1486;21.46158290005777
1;Affalterbach;2818;522;18.523775727466287
1;Affinghausen;418;82;19.617224880382775
1;Affler (in Übereisenbach enthalten);0;0;
1;Agathenburg;673;110;16.344725111441306
1;Ahausen;1175;194;16.51063829787234
1;Ahlbeck;335;186;55.52238805970149
1;Ahlden (Aller), Flecken;840;180;21.428571428571427
1;Ahlstädt;75;42;56.0
1;Ahnatal;5613;877;15.624443256725458
1;Ahnsen;503;132;26.242544731610337
1;Ahrensburg, Stadt;22561;2564;11.364744470546519
1;Ahrensbök;5601;1287;22.978039635779325
1;Ahrenshagen-Daskow;1185;561;47.34177215189873
1;Aichhalden;2791;692;24.793980652096025
1;Aidlingen;5659;1055;18.642869764976144
1;Albersdorf;185;82;44.32432432432432
1;Albersdorf (einschl. Wennbüttel);1663;421;25.315694527961515
1;Albersweiler;664;197;29.66867469879518
1;Albig;646;158;24.458204334365327
1;Albisheim (Pfrimm);555;217;39.0990990990991
1;Albsfelde;53;5;9.433962264150944
1;Alf;217;46;21.19815668202765
1;Alfdorf;4575;1194;26.098360655737704
1;Alfhausen;1781;511;28.691746209994385
1;Alheim;3222;909;28.212290502793294
1;Alkersleben;206;105;50.970873786407765
1;Allendorf;428;172;40.18691588785047
1;Allendorf (Eder);4616;1337;28.964471403812826
1;Allendorf (Lumda), Stadt;2797;555;19.842688594923132
1;Almersbach;158;63;39.87341772151899
1;Alperstedt;411;203;49.39172749391727
1;Alsbach;192;55;28.645833333333332
1;Alsbach-Hähnlein;5885;947;16.09175870858114
1;Alsfeld, Stadt;9293;2074;22.317873668352522
1;Alt Bennebek;182;28;15.384615384615385
1;Alt Krenzlin;342;156;45.6140350877193
1;Alt Meteln;598;262;43.812709030100336
1;Alt Schwerin;270;147;54.44444444444444
1;Altenburg, Stadt;17750;7712;43.44788732394366
1;Altenmedingen;746;129;17.292225201072387
1;Altenstadt;7515;1788;23.79241516966068
1;Alterkülz;197;27;13.705583756345177
1;Altleiningen;632;215;34.01898734177215
